id,vote_event_id,option,value
b1a39175-9316-4fbc-a6a0-4649a17c4f4f,ocd-vote/c75016c0-7cb8-4bb1-ba92-821bec6c6b18,not voting,2
48d4d790-7746-4971-8bdb-240b71164f5e,ocd-vote/c75016c0-7cb8-4bb1-ba92-821bec6c6b18,absent,0
0fdd04f0-7ed5-4536-993d-8f596d56cbd9,ocd-vote/c75016c0-7cb8-4bb1-ba92-821bec6c6b18,excused,4
dff310b8-c20e-45ba-9113-f91a288e261a,ocd-vote/c75016c0-7cb8-4bb1-ba92-821bec6c6b18,other,1
4f681dee-f85c-401c-9c1e-79998c8834dc,ocd-vote/c75016c0-7cb8-4bb1-ba92-821bec6c6b18,no,37
db734c38-dd03-4c41-adca-3603ca2857d2,ocd-vote/c75016c0-7cb8-4bb1-ba92-821bec6c6b18,yes,74
0148a0b7-c5da-4fbe-8f6a-6dee4e73d76d,ocd-vote/aec04d15-08aa-4792-acc7-f28b03ce8f4e,absent,0
ab5892c4-9b73-4684-84cb-f5bb1c3778f4,ocd-vote/aec04d15-08aa-4792-acc7-f28b03ce8f4e,excused,0
bee2b51e-4d27-42af-9abc-503c460f8bb5,ocd-vote/aec04d15-08aa-4792-acc7-f28b03ce8f4e,other,0
34737987-505b-4b3d-901a-cf9266bdf235,ocd-vote/aec04d15-08aa-4792-acc7-f28b03ce8f4e,no,0
9619ab8c-32a9-4661-8627-8ca1c5ca7326,ocd-vote/aec04d15-08aa-4792-acc7-f28b03ce8f4e,yes,56
256e3d51-699c-4baa-a9ff-fcf09e401005,ocd-vote/a2fb3656-706d-4327-a916-b7d81b0c85c0,not voting,4
38169710-85cb-4686-8c83-b7e5e691c532,ocd-vote/d8b073a7-7731-430b-8cf4-daa87e29cae8,not voting,1
57cd158e-2ae3-42ff-ad39-7441e14b9aef,ocd-vote/d8b073a7-7731-430b-8cf4-daa87e29cae8,absent,0
ffdad1e4-0872-4077-8e30-951352386ce8,ocd-vote/d8b073a7-7731-430b-8cf4-daa87e29cae8,excused,3
7958496f-17ec-4686-9763-e7edc81984b8,ocd-vote/d8b073a7-7731-430b-8cf4-daa87e29cae8,other,0
f14fcaef-b1f6-4728-b41e-c7a6b280e72d,ocd-vote/d8b073a7-7731-430b-8cf4-daa87e29cae8,no,43
d8a25df8-b10f-430a-80a0-8030355c224d,ocd-vote/d8b073a7-7731-430b-8cf4-daa87e29cae8,yes,71
7ec3a434-6237-4b78-b917-afc030b12260,ocd-vote/b6523ca0-d0c1-450f-9f0f-7d572cd0d2f2,not voting,2
b9012007-1d33-48ae-b410-8196441d7b3d,ocd-vote/b6523ca0-d0c1-450f-9f0f-7d572cd0d2f2,absent,0
1a0c3c01-fa59-40aa-bf1e-43a3a6bd420a,ocd-vote/b6523ca0-d0c1-450f-9f0f-7d572cd0d2f2,excused,0
68ecd51e-e876-4544-b40a-4c2484649efb,ocd-vote/b6523ca0-d0c1-450f-9f0f-7d572cd0d2f2,other,0
164d31f6-a215-4c62-b2f7-f81e592d7a53,ocd-vote/b6523ca0-d0c1-450f-9f0f-7d572cd0d2f2,no,0
26cce147-243d-4007-acca-c572b5541496,ocd-vote/b6523ca0-d0c1-450f-9f0f-7d572cd0d2f2,yes,57
1acb6eec-cc8c-478c-b172-844ccc2dec17,ocd-vote/a2fb3656-706d-4327-a916-b7d81b0c85c0,absent,0
cd535542-abb0-4406-9b2c-8f54fa0ff783,ocd-vote/a2fb3656-706d-4327-a916-b7d81b0c85c0,excused,4
a1a26a1a-40fe-4ad0-96ff-2a46e7ffdd42,ocd-vote/a2fb3656-706d-4327-a916-b7d81b0c85c0,other,0
4ca1b3ab-30f2-49a6-b97a-9d5412294b15,ocd-vote/a2fb3656-706d-4327-a916-b7d81b0c85c0,no,35
3631461a-a420-442a-a8ad-a412e20f24d9,ocd-vote/a2fb3656-706d-4327-a916-b7d81b0c85c0,yes,75
fce1669c-49f6-4301-81bb-954bfd49ef5c,ocd-vote/0790cfbb-c669-467c-88ef-24026ed5ef80,not voting,4
d4e4841a-366c-4908-922f-5ec1d793f684,ocd-vote/963e7fe4-f36d-4ee6-8299-6e10548a0d2e,not voting,0
8d02ef61-b45d-47ac-8a67-6bd7f9d99a4c,ocd-vote/963e7fe4-f36d-4ee6-8299-6e10548a0d2e,absent,0
77b2fbb5-f3e4-4ff2-854f-fb347e041586,ocd-vote/963e7fe4-f36d-4ee6-8299-6e10548a0d2e,excused,3
1b0d38d2-9957-461e-8420-e1c433695bd3,ocd-vote/963e7fe4-f36d-4ee6-8299-6e10548a0d2e,other,0
